Unnamed: 0,text,Sentiment
31,KONTRAKTOR saya pribadi ... mau bangun sendiri mendatang   di IKN kaltim ... itu bukan KONTRAKTOR saya,Netral
32,"Pesan yg sangat bermakna bagi kita para pendukunng Mas Gibran, kita sama-sama membawa kapal besar koalisi indonesia maju menuju dermaga kemenangan!!! #GibranCawapres  #gibranrakabuming  #PrabowoGibranIstimewa Fuji https://t.co/dUplCJCZzo",Netral
33,"@yunartowijaya Jokowi juga kayaknya ga peduli,semakin gaduh semakin fokus mantau IKN  Yg puyeng biar internal partai2 yg mau berkuasa",Netral
34,@liputan6dotcom Apa hubungannya IKN dg PBB ?,Netral
35,Sekda Ketapang Jadi Pemateri Rakor dan Sosialisasi Pemberdayaan Ekonomi Masyarakat untuk Dukung IKN https://t.co/6aodyiJggA,Netral
36,"Lagi ngobrol sama ibu trus gw nyeletuk Bu kalo nanti ade kerja di IKN gimana"" ""Gausah ah kejauhan, ibu sama appa udah tua""   *Anak bungsu issue""",Netral
37,Seno Aji Harap Kontraktor Kaltim Dilibatkan Pembangunan IKN Nusantara https://t.co/WwzTlVT5pN,Netral
38,"Gus, JokoLOL sekeluarga mau tinggal di IKN.. tetanggaan sama Wapres Gibran, gitu lho...",Netral
39,@mihrabku IKN noh. All in ajah.,Netral
40,"Dukung IKN, Pemprov Kalbar Gelar FGD, Sekda Ketapang Turut sebagai Pemateri https://t.co/n4i2vtmQeV",Netral
41,@kompascom Dan Pak @jokowi  sibuk promosikan IKN dan Sibuk memperkuat dinasti,Netral
42,Proyek IKN Nusantara Banjir Dukungan 13 Badan PBB https://t.co/wddVrnkH9m,Netral
43,"@kompascom Ora opo opo rakyatnya buat tumabal IKN,yang penting tersohor🤣🤣🤣",Netral
44,@killthedj @jokowi Konsultan dan kontraktor IKN dah banyak yg nggak dibayar….jangan ngesub ke BUMN karya karya……nagihnya susah…,Netral
45,"Proyek Infrastruktur IKN Dipacu, Bisnis Asuransi Rekayasa Diuntungkan? https://t.co/IW7Fq9NzOL",Netral
46,@RaniKancana Kan ada yang buka Sampai 24 jam,Netral
47,"Ada masalah serius yang tak terpotret dari pembangunan IKN, yakni banyak warga yang kehilangan lahan dan rumah sendiri, dan tak ada pengganti. https://t.co/WU19oCkrd9",Netral
48,Proyek IKN Nusantara Banjir Dukungan 13 Badan PBB https://t.co/a7h5MQTS4z,Netral
49,@rahmaniarbaftim @Mdy_Asmara1701 Dia takut kehilangan kekuasan demi proyek dan cukong cukong IKN,Netral
50,"@Fahrihamzah Apa bung @Fahrihamzah  yakin dengan capres yg didukung akan melanjutkan/menyelesaikan proyek ikn?  Atau sekedar mengamankan"" proyek ikn?""",Netral
51,Tumbal proyek IKN gas,Netral
52,@NandaZionis Gambaran lebih di rencanakan ..(gambaran ikn gini gini ) Ramalan lebih ke prediksi,Netral
53,@TheLadyJoker @jokowi @ganjarpranowo @gibran_tweet Iya pak @jokowi  menjelang pilpres ini banyak x drama MUAK KALI lihatnya apalg sutradaranya pak @jokowi sendiri kan⁉️ bapak yg memulai Kami Muak #KamiMuak #TurunkanPakDhe pecat. Bagusnya yg pindah ikn bapak dan keluarga aja yg tinggal di sana gk usah ajak2 rakyat,Netral
54,@yyyyaudah iya di IKN tapi dimananya,Netral
55,"Kata Presiden Konoho, siapapun next Presiden nya, IKN harus dilanjutkan 🤝",Netral
56,@kelynnxd Hhh teruskan ingat ikn ak untuk reminder kebaikan 😇,Netral
57,"menlu retno sukses menggalang, membangun dan mengawal PENCITRAAN jokowi di hadapan negara negara Arab dan Timur Tengah demi mengundang investasi mereka ke dalam PSN seperti IKN#sejalandengankebijakanPENCITRAANchinakomunisdenganmendukung(Pro)PalestinadanAntiIsraelAmrikcs.",Netral
58,"@KompasTV Yg  dia aboti proyek IKN, ntar dibubarkan aja IKN, ada apa dgn IKN.",Netral
59,"@gm_gm yaelah lo kemana aja ki? omnibuslaw yg pembentukannya begajulan, uu ikn, revisi uu kpk sampe mahasiswa gugur di aksi reformasi di korupsi tp baru ngangongngong sekarang",Netral
60,@ragilnugroho1 Horeeeee... 3 periode aja mbah. Dana pemilunya buat IKN,Netral
61,"So, siapa nantinya yang akan melenggang ke Gedung MPR/DPR baru di IKN dari dapil ini? Berikan pendapatmu! 💬✌🏻 https://t.co/V6OZTTZSAN",Netral
62,"@noegrahaha @Antinow4 @commiepupps Wah saya baru tau ada desas desus bgtu pas pilkada dki. Ternyata polanya diulang ya, jujur masyarakat provinsi sini banyak yg kemakan isu itu. Wlupun sempet baca AB akan kaji kelebihan dan kekurangan ikn, tpi orang² udah berkesimpulan gak bakal dilanjut..",Netral
63,"Pak @jokowi IHSG lesu, investor menahan diri menunggu stabilitas politik. Semakin pak @jokowi menyinggung drama, semakin investor nunggu sampai pilpres usai. Investor gak peduli dan menunggu drama ini hingga tuntas baru berpikir masuk lagi. Begitu juga sikap mereka terhdap IKN.",Netral
64,"Ganjar Pranowo, pemimpin yang berdiri di sisi rakyat @ikn_nusantara1  Ganjar Presiden https://t.co/1chiIlVKfb",Netral
65,Kurikulum Merdeka akan Masif Diberlakukan untuk Pelajar di IKN https://t.co/ZTfiEl34QM,Netral
66,"@adearmando61 Coba kemarin mas gibran mau dengerin saran mbak selvi. Ojo kesusu mas, ojo grusa grusu mas, tahun 2029 wae le maju, sinambi ngenteni IKN dadi""""",Netral
67,"Dari sini kita faham, Bahwa hakim MKMK tidk berhak merubah hasil keputusan MK terkait batas umur capres dan cawapres, hakim MKMK hanya bisa mengadili terkait kode etik bagi para hakim #GibranCawapres Fuji https://t.co/wmz4rbH5rC",Netral
68,Masih ada waktu jokowi tarik gibran yg Terbukti SAH &amp  MEYAKINKAN Cacat Etik&amp Legitimasi perusak demokrasi! https://t.co/Z5p6ofw8LH  BREAKING NEWS Mantap Gus Partai Socmed Kevin Yoona Fuji Scarlett Drama Ponakan Cawapres Dipecat Cuci Bu Susi Karina Mahasiswa Palestina Menteri Hukum https://t.co/2RicfUJfc9,Netral
69,"@Raeraraera @RAPanutan @Fahrihamzah harusnya itu menjadi ketakutan kita semua sih, uang lu kan udah banyak yang masuk buat IKN tuh(pajak). terus mau di buang gitu aja itu?",Netral
70,"@madolr_ @Fahrihamzah itu analoginya saja, mungkin IKN bisa di anggap apa saja",Netral
71,"@jogmfs Cerita cerita , sambat, julid, ngomongin teori evolusi, ngerencanain pemilu 2024, rapat koordinasi pembangunan IKN, mungkin ada lagi?",Netral
72,@Jehan_Bio @Dennysiregar7 @jokowi Siapa?  Klu menang mkn jadi ketum partai.  Klu klh ya kontraktor i IKN kan bisa.,Netral
73,Semakin memble saja bibir si Fachri ini.Klu projek dibiayai oleh APBN tidak boleh dihentikan. Bgmn klu pejabat sebelumnya salah membuat keputusan.  Dulu Lantang Menolak Tapi Sekarang Fahri Hamzah Dukung IKN! https://t.co/WIAupgYo2m,Netral
74,"@ZulkifliLubis69 @PDI_Perjuangan @jokowi @gibran_tweet Mereka itu di setir, mereka itu hanya disetir oleh sekumpulan elite global untuk kepentingan ekonomi, ikn harus jadi kaarna investor asing uda siap masuk, lalu… *diculik*",Netral
75,@yunartowijaya Mungkin bayangan ikn mangkrak lebih menakutkan,Netral
76,@benuaandin Bulunya,Netral
77,Progress IKN udah 40% guys!  #ikn #ibukotanusantara #iknnusantara #jokowidodo #jokowi #presidenjokowi #erickthohir #menteribumn #bumn #menkomarves #progressikn #iknuntukindonesia #Indonesiamaju #Indonesia #ibukotaindonesia https://t.co/xt2zOST7tk,Netral
78,"@speedingjunkie Kita juga ada kan, IKN",Netral
79,"Dukungan PBB terhadap pembangunan IKN ditandai Declaration of Intent bersama OIKN. Di masa depan, IKN akan menjadi laboratorium hidup. https://t.co/DLp8g0rIEg",Netral
80,"@dAsalbantani @jokowi yg 16 guru besar hadir gak ini, nanti kayak RK.pas viral pangsung di ajak ke IKN🤭",Netral
81,"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/OBjqHQvLKN",Netral
82,"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/ANa6ChQyxI",Netral
83,"Banyak sekali output policy yg cacat di banyak sektor   - Kesehatan dengan covid - Ketenagakerjaan dengan omnibus - IKN dengan UU sapu jagad - etc  Belum lagi kelakuan birokrat beserta instrumen nya - Kasus FS  - Kasus Pajak"" - BTS - Pupuk - etc Sampe ga cukup ngetiknya disini""",Netral
84,"Era baru pembangunan infrastruktur berkelanjutan, Pemerintah terus melanjutkan Proyek Strategis Nasional untuk pembangunan inklusif di Indonesia. #IKN #Infrastruktur #PSN #IndonesiaMaju #IndonesiaEmas #IKNNusantara https://t.co/1Q4s5HaeN4",Netral
85,@Biantara_0 Ternyata,Netral
86,"-upnsby emang sumpa upn tu nyeremin masa perna ya aku pulang terus ketemu bapak2 eh trnyata bapaknya sasuke, beli jagung rebus dah aku, padahal jokowi kan bangun ikn, lah aot selese, kan lucu, plek gaplek, kukukurukkkkkkkk, der dor tar tar tralalala 🤙🤙💥💥👮🔥🔥",Netral
87,Semua fansite ikn pd ke jkt semua keknya. Hadoh ngeri kena getok kameranya euy. Trs semoga kaga rusuh deh mereka soalnya gue emosian wkakakak,Netral
88,sedi liat bokap maap2an ke istri sm anaknya karena dpt jatah MPP di IKN 🥹,Netral
89,BANGUN IKN adalah buah kecerdasan dan keberpihakan pada Rakyat -,Netral
90,"@cagubnyinyir2 @muispebrianto @kalangliwoo @adi6_fachry @aniesbaswedan @asditangerang @sabar_setiabudi @BHD_8 Capres/presiden 2024 yg akan membatalkan IKN, maka capres/presiden tsb botol n aidiot…",Netral
91,"@Fahrihamzah Ibu kota tetap jkt untuk waktu yg tidak di batasi bangun nusantara bisa pelan pelan,duitnya buat rakyat dulu buat sekolah gratis buat pusat pelatihan kerja,ikn tak memberi dampak kemajuan buat rakyat",Netral
92,"Anies keren bgt sih tentang IKN dia bukan tipe mainstream, tapi dia mencoba cari solusi yang lain nanti Ikn mau diapakan jika ia terpilih krna ini kan perintah UU ya pasti dilanjutin tapi kan mesti jelas semuanya",Netral
93,"@finna_febiana Kae fin ono loker neng kalimantan, tumbal proyek ikn",Netral
94,"PKS Tetap Konsisten Tolak IKN Nusantara Meski Sendirian, Jokowi Sebut 93 Persen Fraksi di DPR Setuju  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #PKS #Jokowi  https://t.co/j1bpwNiAJp lewat @tribunkaltim",Netral
95,"Seperti diketahui,  Kepala Negara mengerem investasi asing di IKN dengan dalih memberi  kesempatan pada pengusaha dalam negeri untuk menggarap mega proyek  tersebut.   Sumber: https://t.co/jYub8ovLHz",Netral
96,"@Fahrihamzah Lah gw sebagai rakyat ga butuh IKN bos, APBN buat keseejahteraan rakyat. Bukan buat bangunan baru, apa lagi buat kalean !!",Netral
97,@MARQUEZ__93 17 Agustus 2024 di IKN masih mikir - mikir Ibu akan hadir 🧐,Netral
98,"Lanjutkan IKN, besar kecilnya APBN yg keluar setidaknya ada wujudnya, yaitu IKN.",Netral
99,"@PartaiSocmed @susipudjiastuti Semuanya didukung, ga ada yg diprioritaskan, semua kawan tidak ada lawan.",Netral
100,"@__AnakKolong @gm_gm Ketika orang wanti wanti ekonomi runtuh, dia blng ekonomi ngk sehat 2023-2025 malah sibuk bangun IKN biar orang ingat jasa dia dan sebagian penyembah pinokio percaya",Netral
101,"Ketua MPR Bambang Soesatyo mendukung Institut Kripto Nasional (IKN) mendirikan BlackStone Wallet sebagai wallet kripto pertama di Indonesia, sekaligus mendirikan BlackStone token dan stable coin untuk menjalankan ekosistemnya.  Bagaimana menurut mu?   https://t.co/iKQwgGrHT8",Netral
102,"Bagi capres yg mau batalkan IKN saya tantang, Sudah puluhan bahkan ratusan triliun dana APBN disalurkan. Kalau ada Pres batalkan IKN akan di Gebuki Orang Kalimantan. @pangjaya0855260  @muispebrianto @kalangliwoo @adi6_fachry @aniesbaswedan @asditangerang @sabar_setiabudi @BHD_8",Netral
103,"@ganjarpranowo saya dr indonesia timur sekeluarga akan pilih GM..... pasti 21 suara dlm keluarga kami, suara aman buat bapak @mohmahfudmd teruskan pembangunan IKN dan HILIRISASI SDM (tdk tertumpu pd SDA saja). Pertajam HUKUM dan HUKUMAN yg adil",Netral
104,"Pemerintah Utamakan Pengusaha Asing dibanding Pribumi, JK: Hak Guna Lahan di IKN Hampir 2 Abad https://t.co/DHIFSt7kPQ",Netral
105,"@iwanttoeatf Di ikn bukan si kak, kalau nda salah ini smart forest city bukan si:). Aaa takut salah🥲",Positif
106,@iwanttoeatf lahan di IKN?,Netral
107,Iklan BKPM tentang IKN di Reuters https://t.co/R2GbwTLvy1,Netral
108,"@kumparan minggu depan KPK ada sunatan masal, minggu depannya lagi ada acara arisan, minggu depannya lagi acara peresmian WC umum.... gitu aja terus sampai IKN jadi",Netral
109,"Presiden Jokowi Kritik Konsep Rumah Menteri di IKN, Ini Kata OIKN https://t.co/nmLJa2GgNt",Netral
110,"Pada 1 November 2023, Mayapada Hospital melakukan groundbreaking untuk pembangunan rumah sakit bertaraf internasional di IKN. Pertengahan 2024, Mayapada Hospital diharapkan sudah bisa melayani masyarakat.   Leaders Corner bersama Dato Sri Tahir (Owner Mayapada Group) dan Jonathan… https://t.co/W0jendrGi0",Netral
111,"Ketua MPR Bambang Soesatyo mendukung Institut Kripto Nasional (IKN) mendirikan BlackStone Wallet sebagai wallet kripto pertama di Indonesia, sekaligus mendirikan BlackStone token dan stable coin untuk menjalankan ekosistemnya.  Dia menjabarkan alasan untuk mendukung gagasan IKN.… https://t.co/ig7mm9O17S",Netral
112,@wargapanam Ikn kayanya seru itu,Netral
113,Ini wujud komitmen PLN dalam menyiapkan sistem kelistrikan yang andal  #PLN #PLNUntukIndonesia #PLNSukseskanIKN #IKN #ListrikHijau #EnergiBaruTerbarukan #AcceleratingRenewableEnergy #AcceleratedRenewableEnergyDevelopment #PLNNewEnergy #WeAreTheNewEnergy #78TahunMenerangi #HLN78 https://t.co/N6PBmm42h5,Netral
114,Ini wujud komitmen PLN dalam menyiapkan sistem kelistrikan yang andal  #PLN #PLNUntukIndonesia #PLNSukseskanIKN #IKN #ListrikHijau #EnergiBaruTerbarukan #AcceleratingRenewableEnergy #AcceleratedRenewableEnergyDevelopment #PLNNewEnergy #WeAreTheNewEnergy #78TahunMenerangi #HLN78 https://t.co/bZUnqgzGnU,Netral
115,"@jokowi Setiap bapak ke IKN atas nama kemah, bermalam musik rakyat apa bapak tau berapa pajak kami yg kami sumbangkan untk kebahagiaan bapak dkk??",Netral
116,"@jokowi Pemerintah  tidak bisa berdikari untuk membangun IKN, kalangan pemerintah yang baik harus bersama keluarga good government and family fokus KKN aja pak",Positif
117,"@jokowi Bapak tau ekonomi akan runtuh setelah pandemi, tapi ngotot percepat IKN, apa supaya nama bapak di puji pendiri IKN? Ini lah bapak. Hidup cuman sekedar......",Netral
118,"@detikcom IKN tanahnya HGB 190 tahun. Itu neolib, Pak",Netral
119,"@tololmeroket jd tumbal proyek IKN aja ini, biar cepet jadi..",Netral
120,"https://t.co/qjkwY1aqAN, PPU – Personil Satuan Tugas Operasi Nusantara Mahakam Polda Kaltim melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan Ibu Kota Negara (IKN). Kamis (26/10/23). . . . #polri #divhumas #poldakaltim https://t.co/oifLBgKhj6",Netral
121,"@MaruThegoe @Penyuka_ombak Coba lagi bikin alasan yg lebih make sense yg bayanganmu pun percaya dri hanya sekedar inflasi....dan ilusi.  Biaya pemilu itu 110T, biaya IKN itu 466T (sampai kelar puluhan thn ke depan), biaya bansos selama bbrp bulan ke depan sampai 500T, entah lo itu bodoh atau naif, idk",Netral
122,"@Fahrihamzah Kalo mau batalin sih gila ya, jakarta udah terlalu pengap. Dana buat ikn udah terlanjur dikeluarkan.",Netral
123,"Semoga saja Tahun Depan (2024 ke atas), bisa mengadakan Aksi Bela Palestina di IKN Nusantara.  #FreePalestine #Indonesia #IKN #IKNnusantara",Netral
124,"@KontenBerfaedah Pak @jokowi Mas @kaesangp saat IKN sedang berjalan, hal seperti ini jangan luput dari perhatian. Jutaan kasus seperti ini menanti, budget dan hasil harus bisa ditingkatkan. Ini yang tertangkap kamera, yang lain? Banyak.",Netral
125,@Fahrihamzah Mulai support IKN,Netral
126,"Bukti apa lagi yg ngarus di berikan jika Mas Gibran benar-benar pemimpin muda yg sangat berprestasi, menjadikan Kota Solo sebagai Kota ternyaman di Indonesia sudah, meningkatkan perekonomian sudah, bukti pemimpin muda adalah harapan bangsa sudah teruji #GibranCawapres Fuji https://t.co/2R5P8aGOSz",Netral
127,@pnsdaerahjelata alasan utama : IKN lah jooon,Netral
128,"@wdtu Neolib ya Prabowo, cuan besar dari tanah di IKN plus perusahaannya di Kalimantan.",Netral
129,"#Repost @atr_bpn  Halo #SobATRBPN,  Menteri ATR/Ka BPN, mendampingi Presiden  dalam Groundbreaking Bandara IKN,  Kaltim, Rabu (01/11/2023).  #Hantaru2023  #IndonesiaLengkap #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #MelayaniProfesionalTerpercaya  https://t.co/Go6BtWKXZ9",Netral
130,Begini cara MKMK membatalkan pencawapresan gibran: https://t.co/j15vV5UPZS  MKMK Lawan 9 Chat GPT Mikasa Palestina 4 ARTISTS BPJS Kesehatan Wonyoung Dress Scarlett Anwar Usman Peach Angel Down Karina Fuji Hamas Kevin,Negatif
131,ini kalo udah pindah ke ikn berarti waktu patokan kita wita ya? bukan wib lagi zzz,Netral
132,OIKN: Pasokan listrik IKN Nusantara pada HUT RI 2024 berasal dari PLTS https://t.co/MhoIaUAnFc,Netral
133,"@kisahtanahjawa Bentar lagi selesai upacara 17 Agusts 2024 di IKN, secara resmi beban userannya pindah ke borneo. #JawaRest",Netral
134,@jatamnas @jokowi gk peduli yg spt ini. Isu lingkungan gk senyaman duduk2 ngopi2 dgn bos2 di IKN,Netral
135,"@neohistoria_id Suka kepikiran orang buat acara di Jakarta di tempat - tempat tertentu karena punya nilai sejarah ya, Kalau nanti jadi ibukota pindah ke IKN,  bingung juga nyari tempat2 Historic begini ya 😁",Netral
136,calon tumbal proyek ikn🙏,Netral
137,"@Penyuka_ombak Wkwkwkwkkk, jawaban knp jokowi kaya gini itu ada pada Super Mega Proyek IKN, ada sesuatu yg harus ditutupi disana atau tidak mau ketinggalan kuenya.",Positif
138,"@dokterparu @convomfs kucing aja kalo sakit ngeong. ini manusia dikasih lidah bisa ngomong ditanya diem, udah cocok jadi campuran semen IKN.",Netral
139,"@Paltiwest Jgn terkecoh, seperti halnya RK dan KIP statmen boleh si RK ujungnya jadi TKN PS setelah diajak cek IKN hahahahha",Netral
140,"Bela Pontjo Sutowo di Kasus Hotel Sultan, Jusuf Kalla: Hak Guna Lahan di IKN 195 Tahun  MKMK Mundurlah Ketua MK Anwar Usman PakLurah HarusTurun TurunkanPakDhe Partai Socmed Lawan 9 Menteri Hukum Fuji Palestina Hamas #AniesMuhaimin2024 #JokowiMenyerahlah https://t.co/ZNQ53cDiMe",Netral
141,@watchdoc_ID Miris harusnya pendidikan di utamakan drpd bangun IKN,Netral
142,"@Tyobian stop ikn juga langkah bagus buat menghindari kerugian mendatang, anggap aja 29 T uang buka lahan 😅",Netral
143,"Hari ini momen bersejarah karena @UN secara resmi menyerahkan Declaration of Intent for collective support kepada ibu kota baru #Nusantara di 🇮🇩, termasuk pengembangan Tinjauan Lokal Sukarela #IKN. Kami berkomitmen untuk membangun masa depan berkelanjutan &amp  #LeaveNoOneBehind https://t.co/iavJd3gSfS",Netral
144,@Outstandjing Mungkin FH saking bingungnya disuruh ngetwit dukungannya ke IKN,Netral
145,Presiden Groundbreaking Pembangunan PLTS DI IKN  #PLN #PLNKalselteng #PLNUntukIndonesia #PLNSukseskanIKN #IKN #ListrikHijau #EnergiBaruTerbarukan #AcceleratingRenewableEnergy #AcceleratedRenewableEnergyDevelopment #PLNNewEnergy #WeAreTheNewEnergy #78TahunMenerangi #HLN78 https://t.co/yvN8cxpT5h,Netral
146,Terjawab Nasib Investasi IKN Nusantara di Tengah Ancaman Tren Melemahnya Rupiah Jelang Pilpres 2024   https://t.co/1nYjLpibTN lewat @tribunnews   #IKN #ibukota #pilpres,Netral
147,"@qwertyasdfckk no no,orang yanv sama. cuma idk why dia kene g ikn . i pon tak faham flow dia camne",Netral
148,"ENERGI HIJAU UNTUK KELISTRIKAN IKN NUSANTARA! Green, Smart, and Beautiful!   #PLN #PLNKalselteng #PLNUntukIndonesia #PLNSukseskanIKN #IKN #ListrikHijau #EnergiBaruTerbarukan #AcceleratingRenewableEnergy #AcceleratedRenewableEnergyDevelopment #PLNNewEnergy #WeAreTheNewEnergy https://t.co/bQI70MXt8v",Positif
149,"Pemerintah Utamakan Pengusaha Asing dibanding Pribumi, JK: Hak Guna Lahan di IKN Hampir 2 Abad - https://t.co/ah4vUNjIP6",Netral
150,"Hampir 12 juta orang di daerah perkotaan hidup dalam kondisi yg tak aman dan tak sehat. Namun masih ada harapan. @UNinIndonesia yakin kerja sama dengan @ikn_id akan membuka potensi transisi keberlanjutan untuk menjadikan #Nusantara sebagai kota yg cerdas, hijau, dan inklusif.",Netral
151,"Electrizen, PLN siap memenuhi kebutuhan listrik hijau di Ibu Kota Negara (IKN) Nusantara dengan membangun Pembangkit Listrik Tenaga Surya (PLTS) berkapasitas 50 Megawatt (MW). #PLNSukseskanIKN https://t.co/4DudYosfqy",Netral
152,"@AriArini7 @jokowi Investor asing dah males pada takut masuk ke ikn...demokrasi konaha dah ancuran""",Netral
153,@adearmando61 Langsung Lantik aja sekalian,Netral
154,IKN dinilai sebagai upaya yang tepat untuk merangkul seluruh potensi yang dimiliki oleh Indonesia dan memanfaatkannya secara maksimal. #IKNNusantara,Netral
155,"Marwah politik PDIP tetap TEGAK LURUS jadi PENJILAT si pengkhianat konstitusi dan Pilpres 2024, jokowi! https://t.co/7xn7AXStka  MKMK Anwar Usman Palestina Scarlett Mau VC Menteri Hukum Bangun Drama Cuci Lawan 9 Partai Socmed Peach Kevin Fuji Kaskus Alwi Siang Selasa Sore https://t.co/hOpA1RiyKb",Netral
156,"Dalam kesempatan kali ini, Direktur Utama PLN, Darmawan Prasodjo memastikan komitmen perusahaan untuk menghadirkan kelistrikan yang andal berbasis pasokan ramah lingkungan untuk IKN Nusantara.  Yuk, simak detail informasinya pada video di atas, ya!",Netral
157,"PR Presiden selanjutya itu berat. Ngelanjutin IKN atau nyetop IKN. Kalo ngelanjutin, dana dari mana? Kalo nyetop, udah abis 29 Triliun(?) PR Non IKN masih segudang : Pendidikan, Transportasi Umum, Stunting, Bonus Demografi, Inflasi. Duarrrr.",Netral
